active_windows,assigned_players,assignment_moves_per_player,candidates_per_player,co_location_conflict_ratio,cold_start_event_share,cold_start_events,cold_start_wait_ms,completed,completed_function_events,completed_request_events,completion_ratio,config_path,cost,cross_node_placement_ratio,data_wait_ms,execution_ms,incomplete_active_share,inner_limit_active_share,inner_rounds_per_active_window,inner_stable_active_share,latency_mean_ms,latency_p95_ms,latency_p99_ms,load,mean_assigned_node_count,mean_empirical_gap,mean_pressure,mean_price_spread,mean_queue_pressure_ratio_max,method,no_player_windows,node_cpu_utilization_mean,node_memory_utilization_mean,operational_refinement,oscillation_active_share,outer_feedback_active_share,outer_limit_active_share,outer_rounds_per_active_window,paper_welfare_per_player,placement_dispersion,qc_run_complete,qpr,queue_area_per_arrival,queue_peak,reference_below_current_active_share,run_id,schedule_wait_ms,seed,selected_starting_share,source_bank,throughput,topology,waiting_share,warm_available_share,warm_bypass_share,welfare_baseline_reward_per_player,welfare_contribution_per_player,welfare_cost_per_player,welfare_externality_per_player,welfare_quality_per_player
924,5034,,,,0.13531648400805188,605,8.520688883918586,1360,4471,1360,0.7101827676240209,C:\Users\99349\Desktop\serverless_sim_game_revision\runs\tscv1_g1_formal_q61_q80_98f822c_20260903\online\homogeneous-low\canonical\TSCv1.E1.homogeneous.n20.low.greedy.FQ71.fabfc671\run_config.json,0.5194451724781709,,0.2985909192574368,5.896891075821964,0.0,,,,38.46176470588235,214.0,272.0,low,,,,,,greedy,,0.37349423329304904,0.694494881593035,baseline,,,,,40.931272305142656,,True,0.0680722314398051,21.945691906005223,94,,TSCv1.E1.homogeneous.n20.low.greedy.FQ71.fabfc671,0.6381122791321852,Q71,,G1_Q61_Q80,1.36,homogeneous,,,,41.80773445268827,0.7743754663338525,1.7844220167074025,0.24409673035582902,0.37768085704088494
907,2626,,,,0.3754416961130742,2125,18.707243816254415,1907,5660,1907,0.990134994807892,C:\Users\99349\Desktop\serverless_sim_game_revision\runs\tscv1_g1_formal_q61_q80_98f822c_20260903\online\homogeneous-low\canonical\TSCv1.E1.homogeneous.n20.low.greedy.FQ72.9be5fe9b\run_config.json,0.266735234933182,,0.4234982332155477,14.723144876325089,0.0,,,,76.1767173571054,361.0,437.0,low,,,,,,greedy,,0.26639923732375387,0.5001511947440096,baseline,,,,,28.17533279754511,,True,0.09385297650879222,15.188473520249222,81,,TSCv1.E1.homogeneous.n20.low.greedy.FQ72.9be5fe9b,0.4639575971731449,Q72,,G1_Q61_Q80,1.907,homogeneous,,,,27.83905037322847,0.9102993972446296,0.8717030550197891,0.04234955801578169,0.3400353766915368
907,3519,,,,0.27282051282051284,1064,20.13820512820513,1462,3900,1462,0.7626499739175796,C:\Users\99349\Desktop\serverless_sim_game_revision\runs\tscv1_g1_formal_q61_q80_98f822c_20260903\online\homogeneous-low\canonical\TSCv1.E1.homogeneous.n20.low.greedy.FQ73.20ae0e9b\run_config.json,0.3206328093271738,,0.1517948717948718,8.85,0.0,,,,49.14500683994528,239.0,446.0,low,,,,,,greedy,,0.24071692564167804,0.461064882382018,baseline,,,,,34.74667525609876,,True,0.09278120582926806,16.68961919666145,81,,TSCv1.E1.homogeneous.n20.low.greedy.FQ73.20ae0e9b,0.7897435897435897,Q73,,G1_Q61_Q80,1.462,homogeneous,,,,34.41007736658095,1.0226800239428722,1.0493079927469662,0.04656485342331978,0.40979040503654335
910,2953,,,,0.26439351593068755,946,19.015092230296254,1350,3578,1350,0.7146638433033351,C:\Users\99349\Desktop\serverless_sim_game_revision\runs\tscv1_g1_formal_q61_q80_98f822c_20260903\online\homogeneous-low\canonical\TSCv1.E1.homogeneous.n20.low.greedy.FQ74.2b589b7e\run_config.json,0.38937843605324074,,0.3555058692006708,15.093627724986026,0.0,,,,68.83333333333333,299.0,846.0,low,,,,,,greedy,,0.2994429037841654,0.5161559821983641,baseline,,,,,35.839111859702356,,True,0.05036897008942169,18.023292747485442,73,,TSCv1.E1.homogeneous.n20.low.greedy.FQ74.2b589b7e,0.5349357182783678,Q74,,G1_Q61_Q80,1.35,homogeneous,,,,36.44108798307683,0.8612457968413204,1.7017322361287608,0.08447012466987512,0.32298070668689766
911,8572,,,,0.20509708737864077,169,14.547330097087379,774,824,774,0.40166061235080436,C:\Users\99349\Desktop\serverless_sim_game_revision\runs\tscv1_g1_formal_q61_q80_98f822c_20260903\online\homogeneous-low\canonical\TSCv1.E1.homogeneous.n20.low.greedy.FQ75.d58c5c7f\run_config.json,1.0537582515746124,,0.0,18.559466019417474,0.0,,,,35.888888888888886,207.0,219.0,low,,,,,,greedy,,0.48069615603588994,0.8003377095707046,baseline,,,,,41.08512058883307,,True,0.020466329383675742,42.461338868707834,175,,TSCv1.E1.homogeneous.n20.low.greedy.FQ75.d58c5c7f,1.0048543689320388,Q75,,G1_Q61_Q80,0.774,homogeneous,,,,44.56781923642962,0.48182661594150467,2.418597686189221,1.9157352083038002,0.3698066212289032
938,2678,,,,0.41986013986013987,1501,44.23608391608391,1935,3575,1935,0.9963954685890835,C:\Users\99349\Desktop\serverless_sim_game_revision\runs\tscv1_g1_formal_q61_q80_98f822c_20260903\online\homogeneous-low\canonical\TSCv1.E1.homogeneous.n20.low.greedy.FQ76.b46e90f1\run_config.json,0.20287150695958495,,0.20587412587412587,22.25958041958042,0.0,,,,114.94625322997416,347.0,377.0,low,,,,,,greedy,,0.19601098001054953,0.3862849385770409,baseline,,,,,33.075714035119645,,True,0.08297840726854053,4.192584963954686,22,,TSCv1.E1.homogeneous.n20.low.greedy.FQ76.b46e90f1,0.8855944055944056,Q76,,G1_Q61_Q80,1.935,homogeneous,,,,32.415230888497746,1.1025589688154545,0.7819302687011075,0.014802578906233049,0.3546573035057309
930,3027,,,,0.22816265060240964,1212,13.591114457831326,1817,5312,1817,0.9327515400410678,C:\Users\99349\Desktop\serverless_sim_game_revision\runs\tscv1_g1_formal_q61_q80_98f822c_20260903\online\homogeneous-low\canonical\TSCv1.E1.homogeneous.n20.low.greedy.FQ77.711b8d26\run_config.json,0.344974431744892,,0.3704819277108434,10.433734939759036,0.0,,,,66.30764997248211,303.0,467.0,low,,,,,,greedy,,0.2967214616209629,0.617264657143391,baseline,,,,,32.07556095381637,,True,0.07943362515646041,23.44917864476386,111,,TSCv1.E1.homogeneous.n20.low.greedy.FQ77.711b8d26,0.5276731927710844,Q77,,G1_Q61_Q80,1.817,homogeneous,,,,32.26802044084925,0.821658877527257,1.209141726634823,0.13712686829473225,0.33215020071231455
923,2034,,,,0.45778508771929827,1670,30.93530701754386,1887,3648,1887,0.9864087820177732,C:\Users\99349\Desktop\serverless_sim_game_revision\runs\tscv1_g1_formal_q61_q80_98f822c_20260903\online\homogeneous-low\canonical\TSCv1.E1.homogeneous.n20.low.greedy.FQ78.23a22116\run_config.json,0.26097651139478173,,0.2431469298245614,62.76946271929825,0.0,,,,178.54531001589825,557.0,754.0,low,,,,,,greedy,,0.33662539430034893,0.48186368053330886,baseline,,,,,31.985367057597742,,True,0.040496923533900435,4.173549398849974,24,,TSCv1.E1.homogeneous.n20.low.greedy.FQ78.23a22116,0.5561951754385965,Q78,,G1_Q61_Q80,1.887,homogeneous,,,,31.723052766587998,1.1072553907802205,1.0883022883765934,0.033550564895659656,0.2769122495001865
910,5061,,,,0.3159448818897638,1605,19.532086614173227,1200,5080,1200,0.6166495375128469,C:\Users\99349\Desktop\serverless_sim_game_revision\runs\tscv1_g1_formal_q61_q80_98f822c_20260903\online\homogeneous-low\canonical\TSCv1.E1.homogeneous.n20.low.greedy.FQ79.5313102e\run_config.json,0.5699962870279948,,0.31712598425196853,41.26496062992126,0.0,,,,164.29666666666665,589.0,687.0,low,,,,,,greedy,,0.46362110341504387,0.6693953076110891,baseline,,,,,39.57906029785464,,True,0.012813874525586341,28.33350462487153,122,,TSCv1.E1.homogeneous.n20.low.greedy.FQ79.5313102e,0.6234251968503937,Q79,,G1_Q61_Q80,1.2,homogeneous,,,,40.328183597925744,0.7804786230808625,1.8171718549796703,0.10785089142000785,0.3954205780638416
939,2188,,,,0.28019194881364967,1051,17.351372967208743,1892,3751,1892,0.9752577319587629,C:\Users\99349\Desktop\serverless_sim_game_revision\runs\tscv1_g1_formal_q61_q80_98f822c_20260903\online\homogeneous-low\canonical\TSCv1.E1.homogeneous.n20.low.greedy.FQ80.9a3dbef5\run_config.json,0.3185790628509844,,0.3351106371634231,26.0138629698747,0.0,,,,86.58509513742072,265.0,402.0,low,,,,,,greedy,,0.26696154748952966,0.5941225870345684,baseline,,,,,31.072031871056424,,True,0.06858999373680187,11.447422680412371,67,,TSCv1.E1.homogeneous.n20.low.greedy.FQ80.9a3dbef5,0.5662490002665955,Q80,,G1_Q61_Q80,1.892,homogeneous,,,,31.073035626350418,0.9602045027430167,1.1920244494756136,0.01823046509435288,0.2490469083067377
