node_count,load_scale,seed,run_id,source_manifest_hash,result_path,result_file_sha256,arrivals,completed,throughput_requests_per_ms,qpr,drained_cohort_mean_latency_ms,cost_per_completed_request,completion_rate
100,5.0,E05,E2.sche_nash.low.homogeneous.n100.scale5.E05.d7276168640a37e0,0c2876d27afed67e5d191bc08fbccd1fa1f2994f9a0bd6c115fa820194db6515,C:\Users\99349\Desktop\serverless_sim_game\tmp\formal_e2_reviewer_v3_20260817\formal-runs-composite\canonical\E2.sche_nash.low.homogeneous.n100.scale5.E05.d7276168640a37e0\reviewer_records\E2.sche_nash.low.homogeneous.n100.scale5.E05.d7276168640a37e0\summary.json,e3aac067f75e26c05584a96f44ad11747d5bae042a1ab0a9e127401d58ff161f,9695,6693,6.693,0.13924916976037005,153.60914388166742,0.31290401935791123,0.6903558535327489
100,5.0,E06,E2.sche_nash.low.homogeneous.n100.scale5.E06.e9458cb68039a42b,0c2876d27afed67e5d191bc08fbccd1fa1f2994f9a0bd6c115fa820194db6515,C:\Users\99349\Desktop\serverless_sim_game\tmp\formal_e2_reviewer_v3_20260817\formal-runs-composite\canonical\E2.sche_nash.low.homogeneous.n100.scale5.E06.e9458cb68039a42b\reviewer_records\E2.sche_nash.low.homogeneous.n100.scale5.E06.e9458cb68039a42b\summary.json,263983394d8b5289ae786679f89347ac9ffe65b3708a87dd6994cf77cb4b15e4,9590,3885,3.885,0.04807996453641991,98.84272844272844,0.8174894551359395,0.4051094890510949
100,5.0,E07,E2.sche_nash.low.homogeneous.n100.scale5.E07.6c0eedf2c6add7d8,0c2876d27afed67e5d191bc08fbccd1fa1f2994f9a0bd6c115fa820194db6515,C:\Users\99349\Desktop\serverless_sim_game\tmp\formal_e2_reviewer_v3_20260817\formal-runs-composite\canonical\E2.sche_nash.low.homogeneous.n100.scale5.E07.6c0eedf2c6add7d8\reviewer_records\E2.sche_nash.low.homogeneous.n100.scale5.E07.6c0eedf2c6add7d8\summary.json,87ebf92f8a8b49b3cb4bad1cd91c6a2bb30fb4fc6b88f4d95fa60fee754e97ba,9575,6877,6.877,0.26044887701519154,68.39261305801949,0.3860711401001527,0.71822454308094
100,5.0,E08,E2.sche_nash.low.homogeneous.n100.scale5.E08.b9bce4a6a31dfef5,0c2876d27afed67e5d191bc08fbccd1fa1f2994f9a0bd6c115fa820194db6515,C:\Users\99349\Desktop\serverless_sim_game\tmp\formal_e2_reviewer_v3_20260817\formal-runs-composite\canonical\E2.sche_nash.low.homogeneous.n100.scale5.E08.b9bce4a6a31dfef5\reviewer_records\E2.sche_nash.low.homogeneous.n100.scale5.E08.b9bce4a6a31dfef5\summary.json,5428ef722eb5c6aa76e16f499c24db48508e4fac3a363eb1ded10c9e70899752,9760,6383,6.383,0.08137491922945475,188.5068149772834,0.41610910450611,0.6539959016393443
100,5.0,E09,E2.sche_nash.low.homogeneous.n100.scale5.E09.68a3c58e04e2728b,0c2876d27afed67e5d191bc08fbccd1fa1f2994f9a0bd6c115fa820194db6515,C:\Users\99349\Desktop\serverless_sim_game\tmp\formal_e2_reviewer_v3_20260817\formal-runs-composite\canonical\E2.sche_nash.low.homogeneous.n100.scale5.E09.68a3c58e04e2728b\reviewer_records\E2.sche_nash.low.homogeneous.n100.scale5.E09.68a3c58e04e2728b\summary.json,16f97b194a8fae85bba4d5872133b97946cac2333b4cfa3a75be58777f2599fc,9655,5240,5.24,0.17913061338235192,246.62709923664121,0.11860982880337548,0.5427239772138788
100,5.0,E10,E2.sche_nash.low.homogeneous.n100.scale5.E10.cf6c9eaec59704e9,0c2876d27afed67e5d191bc08fbccd1fa1f2994f9a0bd6c115fa820194db6515,C:\Users\99349\Desktop\serverless_sim_game\tmp\formal_e2_reviewer_v3_20260817\formal-runs-composite\canonical\E2.sche_nash.low.homogeneous.n100.scale5.E10.cf6c9eaec59704e9\reviewer_records\E2.sche_nash.low.homogeneous.n100.scale5.E10.cf6c9eaec59704e9\summary.json,6bde2c5905c5aa82a66e8cb98538673475ce0bca4545b3a55d78f94b8834b99f,9545,5608,5.608,0.05302418066050063,215.0206847360913,0.4918739220895373,0.5875327396542692
100,5.0,E11,E2.sche_nash.low.homogeneous.n100.scale5.E11.1356544a99af93f2,fbf100bd759e7fff73685505a539c9d075f2ebb501713fc8c67b49118afaeb48,C:\Users\99349\Desktop\serverless_sim_game\tmp\formal_e2_extension_reviewer_v3_20260819\formal-runs\canonical\E2.sche_nash.low.homogeneous.n100.scale5.E11.1356544a99af93f2\reviewer_records\E2.sche_nash.low.homogeneous.n100.scale5.E11.1356544a99af93f2\summary.json,f53f6bd01ddee364712b0f11c0470b34667071d1ebb02dc4cc70c22f16053aa6,9680,3675,3.675,0.024590311927921098,130.25224489795917,1.1473821481717688,0.37964876033057854
100,5.0,E12,E2.sche_nash.low.homogeneous.n100.scale5.E12.42d94203f4b1c572,fbf100bd759e7fff73685505a539c9d075f2ebb501713fc8c67b49118afaeb48,C:\Users\99349\Desktop\serverless_sim_game\tmp\formal_e2_extension_reviewer_v3_20260819\formal-runs\canonical\E2.sche_nash.low.homogeneous.n100.scale5.E12.42d94203f4b1c572\reviewer_records\E2.sche_nash.low.homogeneous.n100.scale5.E12.42d94203f4b1c572\summary.json,8b0c5de74830ab81f8a021f3fbb662858e6919f7fe8a1a7c999b47a06af2148e,9655,3588,3.588,0.02287862878597115,301.6992753623188,0.5198142435505504,0.37162092180217504
100,5.0,E13,E2.sche_nash.low.homogeneous.n100.scale5.E13.62f78f11c6ff1c99,fbf100bd759e7fff73685505a539c9d075f2ebb501713fc8c67b49118afaeb48,C:\Users\99349\Desktop\serverless_sim_game\tmp\formal_e2_extension_reviewer_v3_20260819\formal-runs\canonical\E2.sche_nash.low.homogeneous.n100.scale5.E13.62f78f11c6ff1c99\reviewer_records\E2.sche_nash.low.homogeneous.n100.scale5.E13.62f78f11c6ff1c99\summary.json,b10137adbc5b4126adf608c6e7835c860e2301be230d09ef9c9b6ec4380be898,9330,7148,7.148,0.0993878366246969,231.58757694459987,0.3105532278478246,0.7661307609860665
100,5.0,E14,E2.sche_nash.low.homogeneous.n100.scale5.E14.0ae70dfc7a33856f,fbf100bd759e7fff73685505a539c9d075f2ebb501713fc8c67b49118afaeb48,C:\Users\99349\Desktop\serverless_sim_game\tmp\formal_e2_extension_reviewer_v3_20260819\formal-runs\canonical\E2.sche_nash.low.homogeneous.n100.scale5.E14.0ae70dfc7a33856f\reviewer_records\E2.sche_nash.low.homogeneous.n100.scale5.E14.0ae70dfc7a33856f\summary.json,d5b66e535dab529cfcbcace44eae3d613518a52fcbf985d2515558fc4ea218ce,9565,9085,9.085,0.3167439631025136,98.47077600440286,0.29127903352022566,0.9498170412963931
