state_id,players,nodes,feasible_assignments,pure_nash_equilibria,optimal_welfare,worst_nash_welfare,best_nash_welfare,exact_poa,relative_welfare_gap,ready_order_welfare,ready_order_is_pure_nash,ready_order_termination,ready_order_inner_stable,ready_order_inner_limit_hit,ready_order_oscillated,ready_order_inner_rounds,ready_order_assignment_moves,reference_welfare,reference_absolute_shortfall,reference_normalized_shortfall,reference_exact_hit,reference_runtime_ns,exact_enumeration_runtime_ns,potential_strict_improvements,potential_max_identity_residual
p04-s000,4,3,81,4,61.49571098637304,60.99270425807039,60.9927042580704,1.0082469982995728,0.008179541633628945,60.99270425807039,True,stable,True,False,False,1,0,61.49571098637304,0.0,0.0,True,1003300,2974800,324,2.706168622523819e-15
p04-s001,4,3,81,3,67.59767921070639,67.28523439785704,67.29236757853309,1.004643586600321,0.0046221233701742755,67.28523439785704,True,stable,True,False,False,2,1,67.59767921070639,0.0,0.0,True,1137000,2860400,324,2.1094237467877974e-15
p04-s002,4,3,81,10,70.2083465781205,70.13754508077753,70.2083465781205,1.0010094664314444,0.0010084484365999037,70.1676704306339,True,stable,True,False,False,2,1,70.20834657812048,1.4210854715202004e-14,2.0240976191327411e-16,True,1060800,2885800,324,2.55351295663786e-15
p04-s003,4,3,81,2,61.69802208173941,61.69802208173941,61.69802208173941,1.0,0.0,61.69802208173941,True,stable,True,False,False,2,1,61.69802208173941,0.0,0.0,True,1213000,2978900,324,2.1094237467877974e-15
p04-s004,4,3,81,4,78.76446359142774,78.68426219088735,78.71769194059702,1.00101928134429,0.0010182434677193394,78.71769194059702,True,stable,True,False,False,1,0,78.76446359142774,0.0,0.0,True,1107100,2956300,324,2.6645352591003757e-15
p04-s005,4,3,81,1,56.90130418395361,56.78697934575842,56.78697934575842,1.0020132227407115,0.0020091778182376873,56.78697934575842,True,stable,True,False,False,1,0,56.90130418395361,0.0,0.0,True,1061400,2843500,324,1.7763568394002505e-15
p04-s006,4,3,81,4,70.140862755436,70.11704713728678,70.140862755436,1.0003396551783277,0.00033953985185879214,70.11704713728678,True,stable,True,False,False,1,0,70.140862755436,0.0,0.0,True,984900,2873600,324,2.886579864025407e-15
p04-s007,4,3,81,5,67.78982431540989,67.77890847025233,67.78982431540989,1.0001610507664394,0.00016102483326651588,67.77890847025233,True,stable,True,False,False,2,1,67.78982431540989,0.0,0.0,True,1068500,2846300,324,2.275957200481571e-15
p04-s008,4,3,81,1,63.958178389762914,63.958178389762914,63.958178389762914,1.0,0.0,63.958178389762914,True,stable,True,False,False,1,0,63.958178389762914,0.0,0.0,True,858600,2907400,324,2.4424906541753444e-15
p04-s009,4,3,81,4,69.18827897723874,68.96857831415194,69.18827897723874,1.0031855182237637,0.003175402919894476,68.96857831415194,True,stable,True,False,False,1,0,69.18827897723872,1.4210854715202004e-14,2.053939615968339e-16,True,1030800,2920300,324,2.6645352591003757e-15
p04-s010,4,3,81,2,64.61808789237844,64.56063426230065,64.56063426230067,1.0008899173735555,0.0008891261247698487,64.56063426230067,True,stable,True,False,False,2,1,64.61808789237844,0.0,0.0,True,1083800,2842700,324,2.3314683517128287e-15
p04-s011,4,3,81,12,65.2115020920005,64.45602349974202,65.2115020920005,1.011720837731504,0.011585051225973197,64.8236038952337,True,stable,True,False,False,1,0,65.2115020920005,0.0,0.0,True,838600,2807900,324,2.6922908347160046e-15
p04-s012,4,3,81,4,63.40939006901074,62.594317050292105,63.05561385261626,1.0130215178809885,0.012854137499691479,62.594317050292105,True,stable,True,False,False,1,0,63.40939006901074,0.0,0.0,True,1194900,2918600,324,2.55351295663786e-15
p04-s013,4,3,81,12,73.32593597222828,73.27160543480484,73.32593597222828,1.0007414951139808,0.0007409457063598429,73.32593597222828,True,stable,True,False,False,1,0,73.32593597222828,0.0,0.0,True,1034500,2831200,324,2.609024107869118e-15
p04-s014,4,3,81,4,78.29259386868249,78.27424282930839,78.29259386868249,1.0002344454409366,0.00023439048915502232,78.29259386868247,True,stable,True,False,False,1,0,78.29259386868247,1.4210854715202004e-14,1.8150956575838309e-16,True,967300,2845200,324,3.1086244689504383e-15
p04-s015,4,3,81,4,70.22156366206106,69.73635696543133,69.74199199103911,1.0069577293357932,0.0069096538346080216,69.74199199103911,True,stable,True,False,False,1,0,70.22156366206106,0.0,0.0,True,1125300,2797800,324,2.3314683517128287e-15
p04-s016,4,3,81,4,63.41343481549367,63.37925400327714,63.41343481549367,1.0005393060040557,0.0005390153098627283,63.37925400327714,True,stable,True,False,False,1,0,63.41343481549367,0.0,0.0,True,901600,2838000,324,1.6653345369377348e-15
p04-s017,4,3,81,8,71.09418700834163,71.0013109535343,71.09418700834163,1.0013080892952542,0.0013063804329942873,71.09418700834163,True,stable,True,False,False,1,0,71.09418700834163,0.0,0.0,True,1027000,2815700,324,2.609024107869118e-15
p04-s018,4,3,81,12,72.75565436478344,72.71656935190703,72.75565436478344,1.0005374980313946,0.000537209282462746,72.74295740535979,True,stable,True,False,False,1,0,72.75565436478344,0.0,0.0,True,962500,2807800,324,1.609823385706477e-15
p04-s019,4,3,81,8,72.40293028476171,72.21270365284849,72.40293028476171,1.002634254394181,0.0026273333298121445,72.21270365284849,True,stable,True,False,False,1,0,72.40293028476171,0.0,0.0,True,889600,2818800,324,2.609024107869118e-15
p04-s020,4,3,81,1,72.71004676229353,72.47940453941716,72.47940453941716,1.0031821760173394,0.0031720818944099122,72.47940453941716,True,stable,True,False,False,1,0,72.71004676229353,0.0,0.0,True,1021100,2859800,324,3.1086244689504383e-15
p04-s021,4,3,81,1,64.16045630721413,64.16045630721413,64.16045630721413,1.0,0.0,64.16045630721413,True,stable,True,False,False,1,0,64.16045630721413,0.0,0.0,True,819700,2786400,324,2.8727020762175925e-15
p04-s022,4,3,81,12,71.23557800527095,71.01587034938642,71.23557800527095,1.0030937824855712,0.003084240516280741,71.23557800527094,True,stable,True,False,False,1,0,71.23557800527094,1.4210854715202004e-14,1.994909722519623e-16,True,1012800,2812000,324,2.192690473634684e-15
p04-s023,4,3,81,2,57.00124538618104,56.68084578735841,56.68084578735841,1.0056526961510883,0.005620922782510078,56.68084578735841,True,stable,True,False,False,2,1,57.00124538618104,0.0,0.0,True,994500,2824400,324,2.4424906541753444e-15
p04-s024,4,3,81,12,69.84251984868058,69.59972662933521,69.84251984868058,1.0034884220255404,0.003476295240655746,69.77853125077672,True,stable,True,False,False,1,0,69.84251984868058,0.0,0.0,True,1051700,2796300,324,2.4424906541753444e-15
p04-s025,4,3,81,1,70.08763144042456,70.02694213611545,70.02694213611545,1.0008666564961688,0.0008659060530629347,70.02694213611545,True,stable,True,False,False,1,0,70.08763144042456,0.0,0.0,True,1091700,2784500,324,2.1094237467877974e-15
