condition,passed
01_population_identity_alignment_and_invariants,True
02_differentiation_changes_at_least_five_percent_in_four_seeds,False
03_nonrunning_share_at_least_twenty_percent_in_four_seeds,False
04_changed_choice_nonrunning_share_nondecrease_in_three_seeds,False
05_both_r0_neighbours_operationally_dormant,True
06_failed_wq_neighbours_not_relabelled,True
