seed,candidate,aligned_windows,aligned_active_windows,assignment_hash_equal_windows,assigned_players_equal_windows,commands_prepared_equal_windows,strict_pne_status_equal_windows,outer_adjustments_equal_windows,price_signature_changed_assignment_equal_windows,active_assignment_hash_changed_windows,active_assignment_hash_changed_share,operationally_dormant,centre_throughput_requests_per_ms,candidate_throughput_requests_per_ms,difference_throughput_requests_per_ms,equal_throughput_requests_per_ms,centre_qpr,candidate_qpr,difference_qpr,equal_qpr,centre_completion_ratio,candidate_completion_ratio,difference_completion_ratio,equal_completion_ratio,centre_latency_mean_ms,candidate_latency_mean_ms,difference_latency_mean_ms,equal_latency_mean_ms
D121,r0_minus,1000,980,1000,1000,1000,1000,1000,630,0,0.0,True,0.737,0.737,0.0,True,0.005791182502878852,0.005791182502878852,0.0,True,0.37678936605316976,0.37678936605316976,0.0,True,117.46675712347354,117.46675712347354,0.0,True
D121,r0_plus,1000,980,1000,1000,1000,1000,1000,631,0,0.0,True,0.737,0.737,0.0,True,0.005791182502878852,0.005791182502878852,0.0,True,0.37678936605316976,0.37678936605316976,0.0,True,117.46675712347354,117.46675712347354,0.0,True
D122,r0_minus,1000,985,1000,1000,1000,1000,1000,566,0,0.0,True,0.953,0.953,0.0,True,0.010714782021684946,0.010714782021684946,0.0,True,0.5013150973172015,0.5013150973172015,0.0,True,125.29485834207765,125.29485834207765,0.0,True
D122,r0_plus,1000,985,1000,1000,1000,1000,1000,565,0,0.0,True,0.953,0.953,0.0,True,0.010714782021684946,0.010714782021684946,0.0,True,0.5013150973172015,0.5013150973172015,0.0,True,125.29485834207765,125.29485834207765,0.0,True
D123,r0_minus,1000,976,1000,1000,1000,1000,1000,605,0,0.0,True,1.085,1.085,0.0,True,0.02718267370663501,0.02718267370663501,0.0,True,0.5613036730470771,0.5613036730470771,0.0,True,65.5778801843318,65.5778801843318,0.0,True
D123,r0_plus,1000,976,1000,1000,1000,1000,1000,606,0,0.0,True,1.085,1.085,0.0,True,0.02718267370663501,0.02718267370663501,0.0,True,0.5613036730470771,0.5613036730470771,0.0,True,65.5778801843318,65.5778801843318,0.0,True
D124,r0_minus,1000,958,1000,1000,1000,1000,1000,167,0,0.0,True,1.882,1.882,0.0,True,0.05900936091167234,0.05900936091167234,0.0,True,0.9889647924330005,0.9889647924330005,0.0,True,204.90541976620617,204.90541976620617,0.0,True
D124,r0_plus,1000,958,1000,1000,1000,1000,1000,166,0,0.0,True,1.882,1.882,0.0,True,0.05900936091167234,0.05900936091167234,0.0,True,0.9889647924330005,0.9889647924330005,0.0,True,204.90541976620617,204.90541976620617,0.0,True
D125,r0_minus,1000,971,1000,1000,1000,1000,1000,398,0,0.0,True,1.798,1.798,0.0,True,0.0598689593887266,0.0598689593887266,0.0,True,0.9413612565445026,0.9413612565445026,0.0,True,100.27864293659621,100.27864293659621,0.0,True
D125,r0_plus,1000,971,1000,1000,1000,1000,1000,405,0,0.0,True,1.798,1.798,0.0,True,0.0598689593887266,0.0598689593887266,0.0,True,0.9413612565445026,0.9413612565445026,0.0,True,100.27864293659621,100.27864293659621,0.0,True
