seed,candidate,aligned_windows,aligned_active_windows,assignment_hash_equal_windows,assigned_players_equal_windows,commands_prepared_equal_windows,strict_pne_status_equal_windows,outer_adjustments_equal_windows,price_signature_changed_assignment_equal_windows,active_assignment_hash_changed_windows,active_assignment_hash_changed_share,operationally_dormant,centre_throughput_requests_per_ms,candidate_throughput_requests_per_ms,difference_throughput_requests_per_ms,equal_throughput_requests_per_ms,centre_qpr,candidate_qpr,difference_qpr,equal_qpr,centre_completion_ratio,candidate_completion_ratio,difference_completion_ratio,equal_completion_ratio,centre_latency_mean_ms,candidate_latency_mean_ms,difference_latency_mean_ms,equal_latency_mean_ms
D121,wq_minus,1000,982,148,345,345,995,752,23,852,0.8676171079429735,False,0.737,0.733,-0.0040000000000000036,False,0.005791182502878852,0.005775366200644926,-1.5816302233926348e-05,False,0.37678936605316976,0.37474437627811863,-0.0020449897750511314,False,117.46675712347354,116.57571623465212,-0.8910408888214221,False
D121,wq_plus,1000,981,151,339,339,997,773,30,849,0.8654434250764526,False,0.737,0.722,-0.015000000000000013,False,0.005791182502878852,0.005262097920505605,-0.0005290845823732468,False,0.37678936605316976,0.36912065439672803,-0.007668711656441729,False,117.46675712347354,124.01246537396122,6.545708250487678,False
D122,wq_minus,1000,985,237,370,370,998,769,28,763,0.7746192893401015,False,0.953,0.945,-0.008000000000000007,False,0.010714782021684946,0.010773647541061025,5.886551937607856e-05,False,0.5013150973172015,0.49710678590215673,-0.004208311415044741,False,125.29485834207765,122.27407407407408,-3.020784268003567,False
D122,wq_plus,1000,985,281,412,412,1000,762,49,719,0.7299492385786802,False,0.953,0.96,0.007000000000000006,False,0.010714782021684946,0.011011719319096468,0.00029693729741152135,False,0.5013150973172015,0.5049973698053656,0.0036822724881641067,False,125.29485834207765,123.29791666666667,-1.99694167541098,False
D123,wq_minus,1000,978,219,330,330,998,794,14,781,0.7985685071574642,False,1.085,1.099,0.014000000000000012,False,0.02718267370663501,0.027071668801116115,-0.00011100490551889386,False,0.5613036730470771,0.5685463010863943,0.007242628039317189,False,65.5778801843318,66.9199272065514,1.342047022219603,False
D123,wq_plus,1000,976,289,368,368,1000,803,32,711,0.7284836065573771,False,1.085,1.078,-0.006999999999999895,False,0.02718267370663501,0.027288508550521104,0.00010583484388609551,False,0.5613036730470771,0.5576823590274185,-0.0036213140196585947,False,65.5778801843318,64.37662337662337,-1.2012568077084325,False
D124,wq_minus,1000,959,536,695,695,997,809,16,464,0.48383733055265904,False,1.882,1.828,-0.053999999999999826,False,0.05900936091167234,0.05817072447624902,-0.0008386364354233192,False,0.9889647924330005,0.9605885444035733,-0.028376248029427176,False,204.90541976620617,208.0793216630197,3.1739018968135326,False
D124,wq_plus,1000,958,821,907,907,1000,931,77,179,0.18684759916492694,False,1.882,1.889,0.007000000000000117,False,0.05900936091167234,0.059590852145699466,0.0005814912340271275,False,0.9889647924330005,0.9926431949553337,0.0036784025223332018,False,204.90541976620617,204.1476971942827,-0.7577225719234661,False
D125,wq_minus,1000,975,403,599,599,993,796,78,597,0.6123076923076923,False,1.798,1.801,0.0029999999999998916,False,0.0598689593887266,0.06004410092908255,0.00017514154035595114,False,0.9413612565445026,0.9429319371727749,0.0015706806282722585,False,100.27864293659621,100.31482509716824,0.03618216057202517,False
D125,wq_plus,1000,975,287,504,504,989,761,17,713,0.7312820512820513,False,1.798,1.803,0.004999999999999893,False,0.0598689593887266,0.0564945296902103,-0.0033744296985162986,False,0.9413612565445026,0.943979057591623,0.002617801047120394,False,100.27864293659621,106.00942872989462,5.730785793298409,False
